HiFIEnrollID,Units,NHousingNights,Completed Program,Criminal activity/destruction of property/violence,Death,Disagreement with Rules/Persons,Left for a housing opportunity before completing program,Needs could not be met by program,Non-Compliance with Program,Other,Unknown/Disappeared,Deceased,"Emergency Shelter, including hotel or motel paid for with shelter voucher",Hospital or other residential non-psychiatric medical facility,"Jail, Prison, Juvenile Detention Facility",Long-term care facility or nursing home,No exit interview completed,Other,Permanent housing (other than RRH) for formerly homeless persons,"Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)","Rental by client, no ongoing housing subsidy","Rental by client, other (non-VASH) ongoing housing subsidy",Safe Haven,"Staying or living with family, temporary tenure (e.g., room, apartment or house)","Staying or living with friends, permanent tenure","Staying or living with friends, temporary tenure (e.g., room, apartment or house)",Transitional Housing for homeless persons (including homeless youth)
133585,186.0,373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136243,45.38297872340426,1218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136247,50.625,1065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136292,240.0,297,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136306,270.0,731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136307,63.28735632183908,1032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136309,156.0,377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136310,67.0754716981132,1369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136315,35.0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136316,90.0,499,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136319,77.5,1645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136320,83.81746031746032,1327,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136331,93.8021978021978,1430,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136333,72.44680851063829,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136401,71.25,1051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
