YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
0.0,0,0.0,3,0.0,1,1,0,0,0.0,15,0,0,0.0,0,0,0,1,0.0,0,29
15262.08,1,1271.84,3,1271.84,1,2,0,0,0.0,23,1,0,1271.84,1,1,0,0,0.0,1,42
23520.0,0,460.0,3,1960.0,1,1,1,0,460.0,49,1,1,0.0,0,0,1,0,0.0,0,21
8352.0,1,399.0,3,696.0,2,1,1,0,0.0,2,1,0,399.0,1,1,0,0,0.0,0,20
9480.0,1,790.0,3,790.0,2,2,1,0,450.0,179,1,0,0.0,0,1,0,0,340.0,2,38
11364.0,1,947.0,2,947.0,1,1,1,0,347.0,5,1,0,600.0,1,1,0,0,0.0,0,36
4140.0,0,345.0,2,345.0,1,1,1,0,345.0,27,1,0,0.0,0,1,0,0,0.0,0,20
4800.0,1,400.0,3,400.0,1,1,0,0,400.0,2,0,0,0.0,0,0,0,1,0.0,0,30
0.0,0,0.0,2,0.0,1,1,0,1,0.0,19,1,0,0.0,0,1,0,0,0.0,0,46
5124.0,0,427.0,2,427.0,1,1,0,1,427.0,14,1,1,0.0,0,0,1,0,0.0,1,26
9204.0,1,767.0,3,767.0,4,1,0,0,317.0,67,1,0,450.0,1,0,0,1,0.0,0,21
0.0,0,0.0,6,0.0,1,5,0,0,0.0,2,0,0,0.0,0,0,1,0,0.0,0,36
9600.0,0,0.0,3,800.0,1,1,0,0,0.0,8,1,0,0.0,0,0,0,1,0.0,0,23
9396.0,0,783.0,2,783.0,1,1,0,1,0.0,2,1,0,0.0,0,1,0,0,0.0,2,22
15936.0,1,1328.0,2,1328.0,1,1,0,0,328.0,28,1,0,0.0,0,1,0,0,0.0,1,30
0.0,1,0.0,4,0.0,1,2,1,0,0.0,2,0,0,0.0,0,0,1,0,0.0,0,29
8364.0,0,697.0,2,697.0,1,1,1,0,297.0,4,1,0,0.0,0,1,0,0,400.0,1,41
19200.0,1,1600.0,7,1600.0,1,6,1,0,600.0,70,1,0,0.0,0,1,0,0,0.0,2,36
14400.0,1,1200.0,3,1200.0,1,2,0,0,200.0,7,0,0,1000.0,1,0,1,0,0.0,1,31
0.0,0,0.0,5,0.0,2,4,0,1,0.0,23,1,0,0.0,0,1,0,0,0.0,0,36
18000.0,1,500.0,4,1500.0,3,3,0,0,500.0,57,1,0,0.0,0,0,0,1,0.0,1,42
7032.0,0,586.0,4,586.0,1,2,1,0,0.0,21,0,0,0.0,0,0,1,0,0.0,0,26
9588.0,1,799.0,5,799.0,2,4,1,0,0.0,19,1,0,0.0,0,1,0,0,632.0,2,38
8016.0,0,668.0,4,668.0,2,3,0,1,668.0,1,1,1,0.0,0,1,0,0,0.0,0,26
20400.0,1,1700.0,2,1700.0,1,1,0,0,0.0,3,1,0,1700.0,1,1,0,0,0.0,0,33
7656.0,1,638.0,4,638.0,1,3,1,0,0.0,33,1,0,0.0,0,1,0,0,0.0,2,45
5160.0,1,430.0,4,430.0,6,2,1,0,0.0,10,1,1,0.0,0,1,0,0,0.0,1,31
4800.0,0,400.0,4,400.0,3,3,0,1,0.0,4,1,0,400.0,1,0,1,0,0.0,0,23
1872.0,1,156.0,3,156.0,2,1,0,0,156.0,10,1,0,0.0,0,0,0,1,0.0,1,44
7200.0,0,600.0,3,600.0,1,1,0,1,0.0,65,0,0,600.0,1,0,1,0,0.0,1,45
0.0,1,435.0,3,0.0,1,2,1,0,0.0,16,1,0,435.0,1,1,0,0,0.0,2,30
0.0,0,0.0,4,0.0,2,3,0,1,0.0,60,1,0,0.0,0,1,0,0,0.0,2,27
7560.0,1,630.0,2,630.0,1,1,1,0,600.0,10,1,0,0.0,0,1,0,0,30.0,1,26
10788.0,1,899.0,2,899.0,1,1,1,0,0.0,86,1,0,0.0,0,1,0,0,0.0,1,22
1800.0,0,150.0,2,150.0,2,1,0,0,150.0,6,0,1,0.0,0,0,1,0,0.0,0,27
6084.0,0,507.0,2,507.0,4,1,0,0,200.0,46,1,1,0.0,0,1,0,0,0.0,0,19
8400.0,1,700.0,3,700.0,2,2,1,0,0.0,40,1,1,300.0,1,1,0,0,400.0,0,25
3600.0,0,300.0,2,300.0,1,1,0,0,300.0,84,1,0,0.0,0,1,0,0,0.0,0,40
5976.0,0,498.0,4,498.0,1,2,1,0,498.0,5,0,0,0.0,0,0,0,1,0.0,1,34
11460.0,0,955.0,3,955.0,1,1,0,1,526.0,53,1,0,0.0,0,1,0,0,0.0,1,38
720.0,1,0.0,5,60.0,1,3,0,0,0.0,93,1,0,0.0,0,1,0,0,0.0,2,34
0.0,0,0.0,3,0.0,1,2,1,0,0.0,4,1,0,0.0,0,1,0,0,0.0,2,47
0.0,1,0.0,2,0.0,1,1,1,0,0.0,16,0,0,0.0,0,0,1,0,0.0,0,26
0.0,0,0.0,2,0.0,1,1,0,1,0.0,3,1,0,0.0,0,1,0,0,0.0,0,36
